Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z,desiredYawDeg
2023,12,07,16,39,42,967,1.86055,0,0,10.4517,9.59336,0.00549941,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,987,1.88054,0,0,10.4543,9.58901,0.00554074,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,007,1.90055,0,0,10.4543,9.58901,0.00554074,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,027,1.92055,0,0,10.4705,9.5745,0.0056156,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,047,1.94056,0,0,10.4705,9.5745,0.0056156,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,068,1.96055,0,0,10.4754,9.58001,0.00569612,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,087,1.98054,0,0,10.4754,9.58001,0.00569612,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,107,2.00054,0,0,10.4817,9.58409,0.00570861,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,127,2.02054,0,0,10.4817,9.58409,0.00570861,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,147,2.04054,0,0,10.4817,9.58409,0.00570861,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,168,2.06054,0,0,10.4891,9.58856,0.0056905,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,188,2.08055,0,0,10.4891,9.58856,0.0056905,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,43,207,2.10055,0,0,10.4764,9.57906,0.00569567,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,228,2.1206,0,0,10.4733,9.58928,0.00573374,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,248,2.14056,0,0,10.4733,9.58928,0.00573374,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,268,2.16056,0,0,10.4733,9.58928,0.00573374,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,287,2.18055,0,0,10.4767,9.57591,0.00571827,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,308,2.20057,0,0,10.4767,9.57591,0.00571827,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,327,2.22055,0,0,10.469,9.56741,0.00570957,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,347,2.24054,0,0,10.469,9.56741,0.00570957,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,368,2.26055,0,0,10.4644,9.56586,0.00573466,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,388,2.28055,0,0,10.4644,9.56586,0.00573466,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,408,2.30055,0,0,10.4654,9.57227,0.00576578,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,427,2.32055,0,0,10.4654,9.57227,0.00576578,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,447,2.34054,0,0,10.4654,9.57227,0.00576578,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,468,2.3615,0,0,10.4673,9.56073,0.00577733,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,487,2.38054,0,0,10.4673,9.56073,0.00577733,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,507,2.40049,0,0,10.4589,9.55666,0.00576607,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,527,2.42053,0,0,10.4651,9.55982,0.00574928,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,547,2.44054,0,0,10.4651,9.55982,0.00574928,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,567,2.46054,0,0,10.4651,9.55982,0.00574928,-0.286479,-0.0572958,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,587,2.48054,0,0,10.465,9.55765,0.00574068,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,607,2.50054,0,0,10.465,9.55765,0.00574068,-0.286479,-0.0572958,180.367,0,0,0,1.39067e-309
2023,12,07,16,39,43,627,2.52054,0,0,10.468,9.56127,0.00572281,-0.286479,0,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,647,2.54054,0,0,10.468,9.56127,0.00572281,-0.286479,0,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,667,2.56055,0,0,10.4757,9.56757,0.00571371,-0.286479,0,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,687,2.58054,0,0,10.4757,9.56757,0.00571371,-0.286479,0,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,707,2.60054,0,0,10.4757,9.56757,0.00571371,-0.286479,-0.0572958,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,727,2.62053,0,0,10.4712,9.55693,0.00566333,-0.286479,-0.0572958,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,747,2.64054,0,0,10.4712,9.55693,0.00566333,-0.286479,-0.0572958,180.424,0,0,0,1.39067e-309
2023,12,07,16,39,43,767,2.66054,0,0,10.4589,9.57101,0.00574735,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,787,2.68054,0,0,10.4571,9.57127,0.00569695,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,807,2.70054,0,0,10.4571,9.57127,0.00569695,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,827,2.72054,0,0,10.4571,9.57127,0.00569695,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,847,2.74054,0,0,10.4552,9.56729,0.00568834,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,867,2.76054,0,0,10.4552,9.56729,0.00568834,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,887,2.78054,0,0,10.4592,9.55893,0.00561993,-0.286479,0,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,907,2.80054,0,0,10.4592,9.55893,0.00561993,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,927,2.82054,0,0,10.4606,9.56054,0.0056466,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,947,2.84054,0,0,10.4606,9.56054,0.0056466,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,967,2.86053,0,0,10.4585,9.56723,0.00572175,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,43,987,2.88054,0,0,10.4585,9.56723,0.00572175,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,007,2.90054,0,0,10.4722,9.5757,0.00576466,-0.286479,-0.0572958,180.482,0,0,0,1.39067e-309
2023,12,07,16,39,44,027,2.92054,0,0,10.4722,9.5757,0.00576466,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,047,2.94054,0,0,10.4722,9.5757,0.00576466,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,067,2.96055,0,0,10.4718,9.57542,0.00572041,-0.286479,-0.0572958,180.596,0,0,0,1.39067e-309
2023,12,07,16,39,44,087,2.98054,0,0,10.4718,9.57542,0.00572041,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,107,3.00055,0,0,10.4794,9.58938,0.00583189,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,127,3.02054,0,0,10.4874,9.59577,0.00582235,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,147,3.04054,0,0,10.4874,9.59577,0.00582235,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,167,3.06054,0,0,10.4874,9.59577,0.00582235,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,187,3.08054,0,0,10.4818,9.58384,0.00579048,-0.286479,-0.0572958,180.596,0,0,0,1.39067e-309
2023,12,07,16,39,44,207,3.10055,0,0,10.4818,9.58384,0.00579048,-0.286479,-0.0572958,180.596,0,0,0,1.39067e-309
2023,12,07,16,39,44,227,3.12054,0,0,10.4675,9.57186,0.00572545,-0.286479,-0.0572958,180.596,0,0,0,1.39067e-309
2023,12,07,16,39,44,247,3.14054,0,0,10.4675,9.57186,0.00572545,-0.286479,-0.0572958,180.539,0,0,0,1.39067e-309
2023,12,07,16,39,44,267,3.16054,0,0,10.4667,9.56695,0.00572874,-0.286479,-0.0572958,180.596,0,0,0,1.39067e-309
2023,12,07,16,39,44,287,3.18054,0,0,10.4667,9.56695,0.00572874,-0.286479,-0.0572958,180.596,0,0,0,1.39067e-309
2023,12,07,16,39,44,307,3.20054,0,0,10.4719,9.57382,0.00574621,-0.286479,-0.0572958,180.654,0,0,0,1.39067e-309
2023,12,07,16,39,44,327,3.22054,0,0,10.4719,9.57382,0.00574621,-0.286479,-0.0572958,180.596,0,0,0,1.39067e-309
2023,12,07,16,39,44,347,3.24054,0,0,10.4719,9.57382,0.00574621,-0.286479,-0.0572958,180.654,0,0,0,1.39067e-309
2023,12,07,16,39,44,367,3.26054,0,0,10.4852,9.58064,0.00574713,-0.286479,-0.0572958,180.654,0,0,0,1.39067e-309
2023,12,07,16,39,44,387,3.28054,0,0,10.4852,9.58064,0.00574713,-0.286479,-0.0572958,180.654,0,0,0,1.39067e-309
2023,12,07,16,39,44,407,3.30054,0,0,10.4799,9.57282,0.00574832,-0.286479,-0.0572958,180.654,0,0,0,1.39067e-309
2023,12,07,16,39,44,427,3.32054,0,0,10.4807,9.58036,0.00582204,-0.286479,-0.0572958,180.654,0,0,0,1.39067e-309
2023,12,07,16,39,44,447,3.34054,0,0,10.4807,9.58036,0.00582204,-0.286479,-0.0572958,180.654,0,0,0,1.39067e-309
2023,12,07,16,39,44,467,3.36054,0,0,10.4807,9.58036,0.00582204,-0.286479,-0.0572958,180.711,0,0,0,1.39067e-309
2023,12,07,16,39,44,487,3.38054,0,0,10.4745,9.57896,0.00587744,-0.286479,-0.0572958,180.711,0,0,0,1.39067e-309
2023,12,07,16,39,44,507,3.40054,0,0,10.4745,9.57896,0.00587744,-0.286479,-0.0572958,180.711,0,0,0,1.39067e-309
2023,12,07,16,39,44,527,3.42054,0,0,10.4725,9.57732,0.0059054,-0.286479,-0.0572958,180.711,0,0,0,1.39067e-309
2023,12,07,16,39,44,547,3.44054,0,0,10.4725,9.57732,0.0059054,-0.286479,0,180.711,0,0,0,1.39067e-309
2023,12,07,16,39,44,567,3.46054,0,0,10.425,9.63677,0.00545231,-0.286479,-0.0572958,180.711,0,0,0,1.39067e-309
2023,12,07,16,39,44,587,3.48054,0,0,10.425,9.63677,0.00545231,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,607,3.50054,0,0,10.4409,9.62315,0.00554747,-0.286479,0,180.711,0,0,0,1.39067e-309
2023,12,07,16,39,44,627,3.52054,0,0,10.4409,9.62315,0.00554747,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,647,3.54054,0,0,10.4473,9.61215,0.00558055,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,667,3.56054,0,0,10.4473,9.61215,0.00558055,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,687,3.58054,0,0,10.4473,9.61215,0.00558055,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,707,3.60054,0,0,10.4654,9.58994,0.00559393,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,727,3.62054,0,0,10.4654,9.58994,0.00559393,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,747,3.64054,0,0,10.4766,9.56344,0.00563526,-0.286479,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,767,3.66054,0,0,10.4844,9.55484,0.0056782,-0.286479,0,180.825,0,0,0,1.39067e-309
2023,12,07,16,39,44,787,3.68054,0,0,10.4844,9.55484,0.0056782,-0.229183,0,180.825,0,0,0,1.39067e-309
2023,12,07,16,39,44,807,3.70053,0,0,10.4844,9.55484,0.0056782,-0.229183,0,180.768,0,0,0,1.39067e-309
2023,12,07,16,39,44,827,3.72054,0,0,10.4797,9.56238,0.00570005,-0.171887,0,180.825,0,0,0,1.39067e-309
2023,12,07,16,39,44,847,3.74054,0,0,10.4797,9.56238,0.00570005,-0.171887,0,180.825,0,0,0,1.39067e-309
2023,12,07,16,39,44,867,3.76054,0,0,10.4732,9.56266,0.00567587,-0.171887,0,180.825,0,0,0,1.39067e-309
2023,12,07,16,39,44,887,3.78054,0,0,10.4732,9.56266,0.00567587,-0.114592,0,180.825,0,0,0,1.39067e-309
2023,12,07,16,39,44,907,3.80054,0,0,10.4726,9.56641,0.00571468,-0.114592,0,180.825,0,0,0,1.39067e-309
